model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,total_4bit_macs_per_frame,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
densenet121,747,638,847,378,7905448.0,5699658240.0,2856728320.0,0.0,5699658240.0,2856728320.0,,N/A,512,1024,128,256.0,373.5,post_placement,368,1485,12.44 Megabytes/sec,60.65 Megabytes/sec,84.63 Kilobytes/sec,48.29 Megabytes/sec,N/A,422,256,377,160,3,28,0,366848,512,3,5,64,False,False,False,False,False,1,0,N/A,hailo8,,,8663040.00,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,lcu_util,l3_util,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util,boundary_in_bytes,boundary_out_bytes,inter_context_in_bytes,inter_context_out_bytes,ddr_portals_in_bytes,ddr_portals_out_bytes
contexts_total,0.03712976518914925,0.08471038116198631,,,,0.27256485592883045,0.7803828450737561,0.8941237906147353,0.9797674361003328,0.7710785928488593,0.810935429998853,0.49374581571888276,0.10369316743529296,,86.66087050793477,0.011539233268011527,N/A,0.35807340162811707,0.816933104245732,,0.004802009999999999,0.5612105246205203,0.8176786596865556,0.020837615000839183,0.06926587093007022,150528.0,1000.0,583296.0,583296.0,0.0,0.0
densenet121_context_0,0.07356077052723974,0.12581116491996988,,0.5390625,0.255859375,0.30078125,0.7425194035152369,0.9179313037941492,0.9747978178688536,0.8736506508957962,0.8311688311688312,0.5600766302514643,0.14001915756286606,,1224.919767755212,0.00081638,0.0007375575,0.5253621847725536,0.8985282236359904,,0.00083695,,,,,150528.0,0.0,0.0,275968.0,0.0,0.0
densenet121_context_1,0.03683617852812032,0.07942544218228886,,0.6015625,0.2607421875,0.2578125,0.8201436831169702,0.8749999999999994,0.9856583393843972,0.7098333906669216,0.803030303030303,0.4595417442680699,0.09513950174299884,,1668.3558769921212,0.0005993925,0.0009487025,0.3871806962750994,0.8348313868285908,,0.00102087,,,,,0.0,0.0,275968.0,94080.0,0.0,0.0
densenet121_context_2,0.03150982341171307,0.10647170095925915,,0.6015625,0.306640625,0.361328125,0.7533791316000249,0.8749999999999996,0.9721359561985976,0.8348722202949909,0.8594594594594595,0.5193607475434255,0.16128585714727472,,7090.564231648734,0.00014103249999999998,0.000580855,0.1953663140032207,0.6601428224548963,,0.00127543,,,,,0.0,0.0,94080.0,175616.0,0.0,0.0
densenet121_context_3,0.01469341279337581,0.03639830135733067,,0.6015625,0.26953125,0.177734375,0.9044850372537339,0.875,1.0,0.5666455251685085,0.7142857142857143,0.3633919168461576,0.046133739443359856,,1680.5239873792648,0.0005950525000000001,0.0012732675,0.31849602851759873,0.7889735754461927,,0.001029155,,,,,0.0,0.0,175616.0,37632.0,0.0,0.0
densenet121_context_4,0.014479359615121404,0.0666779409875885,,0.6015625,0.357421875,0.361328125,0.7941746798980236,0.8162171010460163,0.9598697785016187,0.7334050544456238,0.8378378378378378,0.45413297052190393,0.137481660997842,,21122.669905476054,4.7342499999999996e-05,0.000402175,0.10531848037061961,0.48499516592714953,,0.000639605,,,,,0.0,1000.0,37632.0,0.0,0.0,0.0

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,is_4bit_enhanced,is_smuffer_in,is_smuffer_out
conv1,conv,224,224,64,3,7,7,2,2,input_layer1,normalization1,9472.0,118816768,,1670.01,239519,115248,17.0,3.0,5.0,64,1,3.0,,1,1,1,False,,False,combined (NORMAL),860.4620361328125,983.3851928710938,,8.0,0.0,3.0,0.7580375,0,64,0.5144122488358441,0.41160768270492554,0.36018694534997026,82.0,7680,densenet121_context_0,False,0.0007737425,0,236027904,43008,8,-124.08582305908203,151.06100463867188,-1.1558704376220703,0.9127888679504395,-2034.5439453125,2217.986572265625,8,8,16,0.4955723881721496,1.0,1.0,0.7334788946324015,0.9411764705882353,0.3634918874868477,False,False,False
normalization1,normalization,112,112,64,64,1,1,,,conv1,maxpool1,0,802816.0,,1494.19,267703,,1,1,1,64,1,2,0.0,,1,1,False,,False,,983.3851928710938,983.3851928710938,densenet121/normalization1,1,0,1,0.7585149999999999,0,64,0.42172110080718994,0.3748631775379181,0.34572136703920714,2,7168,densenet121_context_0,False,0.0007744175,0,1605632.0,0,8,-2034.5439453125,2217.986572265625,-0.27411043643951416,0.25165024399757385,-240.366943359375,242.2595977783203,8,8,16,0.42172110080718994,1.0,1.0,0.8197867414684338,1.0,0.34572136703920714,False,True,False
maxpool1,maxpool,112,112,64,64,3,3,2,2,normalization1,batch_norm2 concat1,0,0,,1266.77,315764,,4.0,4.0,4.0,64,0,6.0,,,1,1,False,,False,combined (INPUT_FEATURES),2089.693534851074,245.84629821777344,,0.0,0.0,4.0,0.7998775,0,64,0.6631679385900497,0.8609992414712906,0.26812268346076246,72.0,10752,densenet121_context_0,False,0.0008390025,0,0,0,8,-240.366943359375,242.2595977783203,N/A,N/A,-240.366943359375,242.2595977783203,8,8,8,0,0,0,0,0.0,0,False,False,False
batch_norm2,batch_norm,56,56,64,64,,,,,maxpool1,normalization2,0,0,,5730.74,69799,,1,1,1,64,1,1,0.0,,1,1,False,,False,,245.84629821777344,245.84629821777344,densenet121/batch_norm2,1,0,1,0.801145,0,64,0.4557085335254669,0.35943207144737244,0.0974056197222619,9,3584,densenet121_context_0,False,0.000842115,0,0,0,8,-240.366943359375,242.2595977783203,0.0,64.71532440185547,-15.33646011352539,1940.062255859375,8,8,16,0.4557085335254669,1.0,1.0,0.21374543717386513,0.0,0.0974056197222619,False,False,False
normalization2,normalization,56,56,64,64,1,1,,,batch_norm2,conv2,0,200704.0,,5730.74,69799,,1,1,1,64,1,1,0.0,,1,1,False,,False,,245.84629821777344,245.84629821777344,densenet121/normalization2,1,0,1,0.801145,0,64,0.4557085335254669,0.35943207144737244,0.0974056197222619,9,3584,densenet121_context_0,False,0.0008452275,0,401408.0,0,8,-15.33646011352539,1940.062255859375,1.48931200705249e-10,0.3342893123626709,0.0,194.49522399902344,8,8,16,0.4557085335254669,1.0,1.0,0.21374543717386513,1.0,0.0974056197222619,False,False,False
conv2,conv,56,56,128,64,1,1,1,1,normalization2,normalization3,8320.0,26091520.0,,1228.27,325661,200704.0,2,1,2,64,8,4,0.0,1,1,1,True,,False,,245.84629821777344,491.6925964355469,densenet121/conv2,1,0,1,0.8159875,0,64,0.7153450846672058,0.1760849505662918,0.713393259321048,4,1024,densenet121_context_0,False,0.0008631825,0,51380224.0,0,8,0.0,194.49522399902344,-3.8840534687042236,3.863744020462036,-1753.604736328125,730.6686401367188,8,8,16,0.7153450846672058,0.875,1.0,0.9972714912173252,1.0,0.624219101905917,False,False,True
normalization3,normalization,56,56,128,128,1,1,,,conv2,conv3,0,401408.0,,3005.73,133079,,1,1,1,128,1,1,0.0,,1,1,False,,False,,491.6925964355469,491.6925964355469,densenet121/normalization3,1,0,1,0.8132,0,128,0.4241690933704376,0.37703919410705566,0.1728606738793346,4,7168,densenet121_context_0,False,0.00086405,0,802816.0,0,8,-1753.604736328125,730.6686401367188,0.00019255111692473292,0.486991286277771,0.0,100.3359375,8,8,16,0.4241690933704376,1.0,1.0,0.40752774443273965,1.0,0.1728606738793346,False,True,False
conv3,conv,56,56,32,128,3,3,1,1,normalization3,concat1,36896.0,115705856.0,,1224.92,326552,225792.0,8,1,2,4,1,2,0.0,1,1,1,True,,False,,491.6925964355469,122.92314910888672,densenet121/conv3,4,0,1,0.8181075,0,4,0.7909674644470215,0.043901123106479645,0.7909674644470215,2,1792,densenet121_context_0,False,0.0008807225,0,231211008.0,12288,8,0.0,100.3359375,-0.4562259316444397,0.4289817810058594,-136.893310546875,137.97120666503906,8,8,16,0.7909674644470215,0.875,1.0,1.0,1.0,0.6920965313911438,False,False,False
concat1,concat,56|56,56|56,96,64|32,,,,,maxpool1 conv3,batch_norm4 concat2,0,0,,10346.88,38659,,1,1,1,96,0,2,1,,,,False,,False,,245.84629821777344,0.0,densenet121/concat1,0,0,1,0.7896650000000001,0,96,0.9734343886375427,0.9734343886375427,0.11524045184331672,12,5376,densenet121_context_0,False,0.00088327,0,0,0,8,N/A,N/A,N/A,N/A,-240.366943359375,242.2595977783203,8,8,8,0.9734343886375427,1.0,1.0,0.11838543325412185,0.0,0.11524045184331672,False,False,False
batch_norm4,batch_norm,56,56,96,96,,,,,concat1,normalization4,0,0,,3835.27,104295,,1,1,1,96,1,1,0.0,,1,1,False,,False,,368.7694396972656,368.7694396972656,densenet121/batch_norm4,1,0,1,0.795525,0,96,0.4574716091156006,0.3608226776123047,0.14610843440772547,6,5376,densenet121_context_0,False,0.0008908525,0,0,0,8,-240.366943359375,242.2595977783203,0.0,64.71532440185547,-487.7310791015625,1620.2591552734375,8,8,16,0.4574716091156006,1.0,1.0,0.3193825179450746,0.0,0.14610843440772547,False,False,False
